; Author: Santiago Ontañón Villar (Brain Games)													
; Information to construct this table was optained from the following resources:													
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)													
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf (for the Amstrad CPC timings)													
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)													
; - The Undocumented Z80 Documented (for corrections on the above)
; Instruction	Timing	Timing MSX	Timing Amstrad CPC	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory
ADC A,(HL)	7	8	2	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C		
ADC A,r	4	5	1	88+r	1	A,r	C			A	S,Z,H,P/V,N,C		
ADD A,(HL)	7	8	2	86	1	A,HL			HL	A	S,Z,H,P/V,N,C		
ADD A,r	4	5	1	80+r	1	A,r				A	S,Z,H,P/V,N,C		
ADD HL,BC	11	12	3	9	1	HL,BC				HL	H,N		
ADD HL,DE	11	12	3	19	1	HL,DE				HL	H,N		
ADD HL,HL	11	12	3	29	1	HL				HL	H,N		
ADD HL,SP	11	12	3	39	1	HL,SP				HL	H,N		
AND (HL)	7	8	2	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C		
AND r	4	5	1	A0+r	1	A,r				A	S,Z,H,P/V,N,C		
CCF	4	5	1	3F	1		C				C,N,H		
CP (HL)	7	8	2	BE	1	A,HL			HL		S,Z,H,P/V,N,C		
CP r	4	5	1	B8+r	1	A,r					S,Z,H,P/V,N,C		
CPL	4	5	1	2F	1	A				A	H,N		
DAA	4	5	1	27	1	A					S,Z,H,P/V,C		
DEC (HL)	11	12	3	35	1	HL			HL		S,Z,H,P/V,N		HL
DEC A	4	5	1	3D	1	A				A	S,Z,H,P/V,N		
DEC B	4	5	1	5	1	B				B	S,Z,H,P/V,N		
DEC BC	6	7	2	0B	1	BC				BC			
DEC C	4	5	1	0D	1	C				C	S,Z,H,P/V,N		
DEC D	4	5	1	15	1	D				D	S,Z,H,P/V,N		
DEC DE	6	7	2	1B	1	DE				DE			
DEC E	4	5	1	1D	1	E				E	S,Z,H,P/V,N		
DEC H	4	5	1	25	1	H				H	S,Z,H,P/V,N		
DEC HL	6	7	2	2B	1	HL				HL			
DEC L	4	5	1	2D	1	L				L	S,Z,H,P/V,N		
DEC SP	6	7	2	3B	1	SP				SP			
DI	4	5	1	F3	1								
EI	4	5	1	FB	1								
EX (SP),HL	19	20	6	E3	1	HL,SP			[SP:SP+1]	HL			[SP:SP+1]
EX AF,AF'	4	5	1	8	1	AF				AF			
EX DE,HL	4	5	1	EB	1	DE,HL				DE,HL			
EXX	4	5	1	D9	1	BC,DE,HL				BC,DE,HL			
HALT	4	5	1	76	1								
INC (HL)	11	12	3	34	1	HL			HL		S,Z,H,P/V,N		HL
INC A	4	5	1	3C	1	A				A	S,Z,H,P/V,N		
INC B	4	5	1	4	1	B				B	S,Z,H,P/V,N		
INC BC	6	7	2	3	1	BC				BC			
INC C	4	5	1	0C	1	C				C	S,Z,H,P/V,N		
INC D	4	5	1	14	1	D				D	S,Z,H,P/V,N		
INC DE	6	7	2	13	1	DE				DE			
INC E	4	5	1	1C	1	B				B	S,Z,H,P/V,N		
INC H	4	5	1	24	1	H				H	S,Z,H,P/V,N		
INC HL	6	7	2	23	1	HL				HL			
INC L	4	5	1	2C	1	L				L	S,Z,H,P/V,N		
INC SP	6	7	2	33	1	SP				SP			
JP HL	4	5	1	E9	1	HL				PC			
JP (HL)	4	5	1	E9	1	HL				PC			
LD (BC),A	7	8	2	2	1	A,BC							BC
LD (DE),A	7	8	2	12	1	A,DE							DE
LD (HL),r	7	8	2	70+r	1	r,HL							HL
LD A,(BC)	7	8	2	0A	1	BC			BC	A			
LD A,(DE)	7	8	2	1A	1	DE			DE	A			
LD A,(HL)	7	8	2	7E	1	HL			HL	A			
LD A,r	4	5	1	78+r	1	r				A			
LD B,(HL)	7	8	2	46	1	HL			HL	B			
LD B,r	4	5	1	40+r	1	r				B			
LD C,(HL)	7	8	2	4E	1	HL			HL	C			
LD C,r	4	5	1	48+r	1	r				C			
LD D,(HL)	7	8	2	56	1	HL			HL	D			
LD D,r	4	5	1	50+r	1	r				D			
LD E,(HL)	7	8	2	5E	1	HL			HL	E			
LD E,r	4	5	1	58+r	1	r				E			
LD H,(HL)	7	8	2	66	1	HL			HL	H			
LD H,r	4	5	1	60+r	1	r				H			
LD L,(HL)	7	8	2	6E	1	HL			HL	L			
LD L,r	4	5	1	68+r	1	r				L			
LD SP,HL	6	7	2	F9	1	HL				SP			
NOP	4	5	1	0	1								
OR (HL)	7	8	2	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C		
OR r	4	5	1	B0+r	1	A,r				A	S,Z,H,P/V,N,C		
POP AF	10	11	3	F1	1	SP			[SP:SP+1]	AF,SP			
POP BC	10	11	3	C1	1	SP			[SP:SP+1]	BC,SP			
POP DE	10	11	3	D1	1	SP			[SP:SP+1]	DE,SP			
POP HL	10	11	3	E1	1	SP			[SP:SP+1]	HL,SP			
PUSH AF	11	12	4	F5	1	AF,SP				SP			[SP-2:SP-1]
PUSH BC	11	12	4	C5	1	BC,SP				SP			[SP-2:SP-1]
PUSH DE	11	12	4	D5	1	DE,SP				SP			[SP-2:SP-1]
PUSH HL	11	12	4	E5	1	HL,SP				SP			[SP-2:SP-1]
RET	10	11	3	C9	1	SP			[SP:SP+1]	SP,PC			
RET C	5/11	6/12	2/4	D8	1	SP	C		[SP:SP+1]	SP,PC			
RET M	5/11	6/12	2/4	F8	1	SP	S		[SP:SP+1]	SP,PC			
RET NC	5/11	6/12	2/4	D0	1	SP	C		[SP:SP+1]	SP,PC			
RET NZ	5/11	6/12	2/4	C0	1	SP	Z		[SP:SP+1]	SP,PC			
RET P	5/11	6/12	2/4	F0	1	SP	S		[SP:SP+1]	SP,PC			
RET PE	5/11	6/12	2/4	E8	1	SP	P		[SP:SP+1]	SP,PC			
RET PO	5/11	6/12	2/4	E0	1	SP	P		[SP:SP+1]	SP,PC			
RET Z	5/11	6/12	2/4	C8	1	SP	Z		[SP:SP+1]	SP,PC			
