; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was optained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf (for the Amstrad CPC timings)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)	
; - out (c),r instructions in the Amstrad CPC actually also depend on "B", as ports are 16 addresses. So, even if they are written as "out (c),r", in reality the instruction is "out (bc),r"
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing Amstrad CPC	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
ADC A,(HL)	2	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
ADC A,r	1	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			true
ADD A,(HL)	2	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
ADD A,r	1	80+r	1	A,r				A	S,Z,H,P/V,N,C			true
ADD HL,BC	3	9	1	HL,BC				HL	H,N,C			true
ADD HL,DE	3	19	1	HL,DE				HL	H,N,C			true
ADD HL,HL	3	29	1	HL				HL	H,N,C			true
ADD HL,SP	3	39	1	HL,SP				HL	H,N,C			true
AND (HL)	2	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
AND r	1	A0+r	1	A,r				A	S,Z,H,P/V,N,C			true
CCF	1	3F	1		C				C,N,H			true
CP (HL)	2	BE	1	A,HL			HL		S,Z,H,P/V,N,C			true
CP A	1	B8+7	1						S,Z,H,P/V,N,C			true
CP B	1	B8+0	1	A,B					S,Z,H,P/V,N,C			true
CP C	1	B8+1	1	A,C					S,Z,H,P/V,N,C			true
CP D	1	B8+2	1	A,D					S,Z,H,P/V,N,C			true
CP E	1	B8+3	1	A,E					S,Z,H,P/V,N,C			true
CP H	1	B8+4	1	A,H					S,Z,H,P/V,N,C			true
CP L	1	B8+5	1	A,L					S,Z,H,P/V,N,C			true
CPL	1	2F	1	A				A	H,N			true
DAA	1	27	1	A	H,N,C				S,Z,H,P/V,C			true
DEC (HL)	3	35	1	HL			HL		S,Z,H,P/V,N		HL	true
DEC A	1	3D	1	A				A	S,Z,H,P/V,N			true
DEC B	1	5	1	B				B	S,Z,H,P/V,N			true
DEC BC	2	0B	1	BC				BC				true
DEC C	1	0D	1	C				C	S,Z,H,P/V,N			true
DEC D	1	15	1	D				D	S,Z,H,P/V,N			true
DEC DE	2	1B	1	DE				DE				true
DEC E	1	1D	1	E				E	S,Z,H,P/V,N			true
DEC H	1	25	1	H				H	S,Z,H,P/V,N			true
DEC HL	2	2B	1	HL				HL				true
DEC L	1	2D	1	L				L	S,Z,H,P/V,N			true
DEC SP	2	3B	1	SP				SP				true
DI	1	F3	1									true
EI	1	FB	1									true
EX (SP),HL	6	E3	1	HL,SP			[SP:SP+1]	HL			[SP:SP+1]	true
EX AF,AF'	1	8	1	AF				AF				true
EX DE,HL	1	EB	1	DE,HL				DE,HL				true
EXX	1	D9	1	BC,DE,HL				BC,DE,HL				true
HALT	1	76	1									true
INC (HL)	3	34	1	HL			HL		S,Z,H,P/V,N		HL	true
INC A	1	3C	1	A				A	S,Z,H,P/V,N			true
INC B	1	4	1	B				B	S,Z,H,P/V,N			true
INC BC	2	3	1	BC				BC				true
INC C	1	0C	1	C				C	S,Z,H,P/V,N			true
INC D	1	14	1	D				D	S,Z,H,P/V,N			true
INC DE	2	13	1	DE				DE				true
INC E	1	1C	1	B				B	S,Z,H,P/V,N			true
INC H	1	24	1	H				H	S,Z,H,P/V,N			true
INC HL	2	23	1	HL				HL				true
INC L	1	2C	1	L				L	S,Z,H,P/V,N			true
INC SP	2	33	1	SP				SP				true
JP HL	1	E9	1	HL				PC				true
JP (HL)	1	E9	1	HL				PC				true
LD (BC),A	2	2	1	A,BC							BC	true
LD (DE),A	2	12	1	A,DE							DE	true
LD (HL),r	2	70+r	1	r,HL							HL	true
LD A,(BC)	2	0A	1	BC			BC	A				true
LD A,(DE)	2	1A	1	DE			DE	A				true
LD A,(HL)	2	7E	1	HL			HL	A				true
LD A,r	1	78+r	1	r				A				true
LD B,(HL)	2	46	1	HL			HL	B				true
LD B,r	1	40+r	1	r				B				true
LD C,(HL)	2	4E	1	HL			HL	C				true
LD C,r	1	48+r	1	r				C				true
LD D,(HL)	2	56	1	HL			HL	D				true
LD D,r	1	50+r	1	r				D				true
LD E,(HL)	2	5E	1	HL			HL	E				true
LD E,r	1	58+r	1	r				E				true
LD H,(HL)	2	66	1	HL			HL	H				true
LD H,r	1	60+r	1	r				H				true
LD L,(HL)	2	6E	1	HL			HL	L				true
LD L,r	1	68+r	1	r				L				true
LD SP,HL	2	F9	1	HL				SP				true
NOP	1	0	1									true
OR (HL)	2	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
OR r	1	B0+r	1	A,r				A	S,Z,H,P/V,N,C			true
POP AF	3	F1	1	SP			[SP:SP+1]	AF,SP				true
POP BC	3	C1	1	SP			[SP:SP+1]	BC,SP				true
POP DE	3	D1	1	SP			[SP:SP+1]	DE,SP				true
POP HL	3	E1	1	SP			[SP:SP+1]	HL,SP				true
PUSH AF	4	F5	1	AF,SP				SP			[SP-2:SP-1]	true
PUSH BC	4	C5	1	BC,SP				SP			[SP-2:SP-1]	true
PUSH DE	4	D5	1	DE,SP				SP			[SP-2:SP-1]	true
PUSH HL	4	E5	1	HL,SP				SP			[SP-2:SP-1]	true
RET	3	C9	1	SP			[SP:SP+1]	SP,PC				true
RET C	4/2	D8	1	SP	C		[SP:SP+1]	SP,PC				true
RET M	4/2	F8	1	SP	S		[SP:SP+1]	SP,PC				true
RET NC	4/2	D0	1	SP	C		[SP:SP+1]	SP,PC				true
RET NZ	4/2	C0	1	SP	Z		[SP:SP+1]	SP,PC				true
RET P	4/2	F0	1	SP	S		[SP:SP+1]	SP,PC				true
RET PE	4/2	E8	1	SP	P		[SP:SP+1]	SP,PC				true
RET PO	4/2	E0	1	SP	P		[SP:SP+1]	SP,PC				true
RET Z	4/2	C8	1	SP	Z		[SP:SP+1]	SP,PC				true
RLA	1	17	1	A	C			A	H,N,C			true
RLCA	1	7	1	A				A	H,N,C			true
RRA	1	1F	1	A	C			A	H,N,C			true
RRCA	1	0F	1	A				A	H,N,C			true
RST 0	4	C7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 10H	4	D7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 18H	4	DF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 20H	4	E7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 28H	4	EF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 30H	4	F7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 38H	4	FF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 8H	4	CF	1	SP				SP,PC			[SP-2:SP-1]	true
SBC A,(HL)	2	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
SBC A,A	1	98+7	1		C			A	S,Z,H,P/V,N,C			true
SBC A,B	1	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			true
SBC A,C	1	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			true
SBC A,D	1	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			true
SBC A,E	1	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			true
SBC A,H	1	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			true
SBC A,L	1	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			true
SCF	1	37	1						H,N,C			true
SUB (HL)	2	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
SUB A	1	90+7	1					A	S,Z,H,P/V,N,C			true
SUB B	1	90+0	1	A,B				A	S,Z,H,P/V,N,C			true
SUB C	1	90+1	1	A,C				A	S,Z,H,P/V,N,C			true
SUB D	1	90+2	1	A,D				A	S,Z,H,P/V,N,C			true
SUB E	1	90+3	1	A,E				A	S,Z,H,P/V,N,C			true
SUB H	1	90+4	1	A,H				A	S,Z,H,P/V,N,C			true
SUB L	1	90+5	1	A,L				A	S,Z,H,P/V,N,C			true
XOR (HL)	2	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
XOR A	1	A8+7	1					A	S,Z,H,P/V,N,C			true
XOR B	1	A8+0	1	A,B				A	S,Z,H,P/V,N,C			true
XOR C	1	A8+1	1	A,C				A	S,Z,H,P/V,N,C			true
XOR D	1	A8+2	1	A,D				A	S,Z,H,P/V,N,C			true
XOR E	1	A8+3	1	A,E				A	S,Z,H,P/V,N,C			true
XOR H	1	A8+4	1	A,H				A	S,Z,H,P/V,N,C			true
XOR L	1	A8+5	1	A,L				A	S,Z,H,P/V,N,C			true
