; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)
; - R800 instruction details obtained from here: https://www.msx.org/wiki/R800_Programming
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing MSX	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
ADC A,(HL)	8	8E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
ADC A,r	5	88+r	1	A,r	C			A	S,Z,H,P/V,N,C			true
ADD A,(HL)	8	86	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
ADD A,r	5	80+r	1	A,r				A	S,Z,H,P/V,N,C			true
ADD HL,BC	12	9	1	HL,BC				HL	H,N,C			true
ADD HL,DE	12	19	1	HL,DE				HL	H,N,C			true
ADD HL,HL	12	29	1	HL				HL	H,N,C			true
ADD HL,SP	12	39	1	HL,SP				HL	H,N,C			true
AND (HL)	8	A6	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
AND r	5	A0+r	1	A,r				A	S,Z,H,P/V,N,C			true
CCF	5	3F	1		C				C,N,H			true
CP (HL)	8	BE	1	A,HL			HL		S,Z,H,P/V,N,C			true
CP A	5	B8+7	1						S,Z,H,P/V,N,C			true
CP B	5	B8+0	1	A,B					S,Z,H,P/V,N,C			true
CP C	5	B8+1	1	A,C					S,Z,H,P/V,N,C			true
CP D	5	B8+2	1	A,D					S,Z,H,P/V,N,C			true
CP E	5	B8+3	1	A,E					S,Z,H,P/V,N,C			true
CP H	5	B8+4	1	A,H					S,Z,H,P/V,N,C			true
CP L	5	B8+5	1	A,L					S,Z,H,P/V,N,C			true
CPL	5	2F	1	A				A	H,N			true
DAA	5	27	1	A	H,N,C				S,Z,H,P/V,C			true
DEC (HL)	12	35	1	HL			HL		S,Z,H,P/V,N		HL	true
DEC A	5	3D	1	A				A	S,Z,H,P/V,N			true
DEC B	5	5	1	B				B	S,Z,H,P/V,N			true
DEC BC	7	0B	1	BC				BC				true
DEC C	5	0D	1	C				C	S,Z,H,P/V,N			true
DEC D	5	15	1	D				D	S,Z,H,P/V,N			true
DEC DE	7	1B	1	DE				DE				true
DEC E	5	1D	1	E				E	S,Z,H,P/V,N			true
DEC H	5	25	1	H				H	S,Z,H,P/V,N			true
DEC HL	7	2B	1	HL				HL				true
DEC L	5	2D	1	L				L	S,Z,H,P/V,N			true
DEC SP	7	3B	1	SP				SP				true
DI	5	F3	1									true
EI	5	FB	1									true
EX (SP),HL	20	E3	1	HL,SP			[SP:SP+1]	HL			[SP:SP+1]	true
EX AF,AF'	5	8	1	AF				AF				true
EX DE,HL	5	EB	1	DE,HL				DE,HL				true
EXX	5	D9	1	BC,DE,HL				BC,DE,HL				true
HALT	5	76	1									true
INC (HL)	12	34	1	HL			HL		S,Z,H,P/V,N		HL	true
INC A	5	3C	1	A				A	S,Z,H,P/V,N			true
INC B	5	4	1	B				B	S,Z,H,P/V,N			true
INC BC	7	3	1	BC				BC				true
INC C	5	0C	1	C				C	S,Z,H,P/V,N			true
INC D	5	14	1	D				D	S,Z,H,P/V,N			true
INC DE	7	13	1	DE				DE				true
INC E	5	1C	1	E				E	S,Z,H,P/V,N			true
INC H	5	24	1	H				H	S,Z,H,P/V,N			true
INC HL	7	23	1	HL				HL				true
INC L	5	2C	1	L				L	S,Z,H,P/V,N			true
INC SP	7	33	1	SP				SP				true
JP HL	5	E9	1	HL				PC				true
JP (HL)	5	E9	1	HL				PC				true
LD (BC),A	8	2	1	A,BC							BC	true
LD (DE),A	8	12	1	A,DE							DE	true
LD (HL),r	8	70+r	1	r,HL							HL	true
LD A,(BC)	8	0A	1	BC			BC	A				true
LD A,(DE)	8	1A	1	DE			DE	A				true
LD A,(HL)	8	7E	1	HL			HL	A				true
LD A,r	5	78+r	1	r				A				true
LD B,(HL)	8	46	1	HL			HL	B				true
LD B,r	5	40+r	1	r				B				true
LD C,(HL)	8	4E	1	HL			HL	C				true
LD C,r	5	48+r	1	r				C				true
LD D,(HL)	8	56	1	HL			HL	D				true
LD D,r	5	50+r	1	r				D				true
LD E,(HL)	8	5E	1	HL			HL	E				true
LD E,r	5	58+r	1	r				E				true
LD H,(HL)	8	66	1	HL			HL	H				true
LD H,r	5	60+r	1	r				H				true
LD L,(HL)	8	6E	1	HL			HL	L				true
LD L,r	5	68+r	1	r				L				true
LD SP,HL	7	F9	1	HL				SP				true
NOP	5	0	1									true
OR (HL)	8	B6	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
OR r	5	B0+r	1	A,r				A	S,Z,H,P/V,N,C			true
POP AF	11	F1	1	SP			[SP:SP+1]	AF,SP				true
POP BC	11	C1	1	SP			[SP:SP+1]	BC,SP				true
POP DE	11	D1	1	SP			[SP:SP+1]	DE,SP				true
POP HL	11	E1	1	SP			[SP:SP+1]	HL,SP				true
PUSH AF	12	F5	1	AF,SP	S,Z,H,P/V,N,C			SP			[SP-2:SP-1]	true
PUSH BC	12	C5	1	BC,SP				SP			[SP-2:SP-1]	true
PUSH DE	12	D5	1	DE,SP				SP			[SP-2:SP-1]	true
PUSH HL	12	E5	1	HL,SP				SP			[SP-2:SP-1]	true
RET	11	C9	1	SP			[SP:SP+1]	SP,PC				true
RET C	12/6	D8	1	SP	C		[SP:SP+1]	SP,PC				true
RET M	12/6	F8	1	SP	S		[SP:SP+1]	SP,PC				true
RET NC	12/6	D0	1	SP	C		[SP:SP+1]	SP,PC				true
RET NZ	12/6	C0	1	SP	Z		[SP:SP+1]	SP,PC				true
RET P	12/6	F0	1	SP	S		[SP:SP+1]	SP,PC				true
RET PE	12/6	E8	1	SP	P		[SP:SP+1]	SP,PC				true
RET PO	12/6	E0	1	SP	P		[SP:SP+1]	SP,PC				true
RET Z	12/6	C8	1	SP	Z		[SP:SP+1]	SP,PC				true
RLA	5	17	1	A	C			A	H,N,C			true
RLCA	5	7	1	A				A	H,N,C			true
RRA	5	1F	1	A	C			A	H,N,C			true
RRCA	5	0F	1	A				A	H,N,C			true
RST 0	12	C7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 10H	12	D7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 18H	12	DF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 20H	12	E7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 28H	12	EF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 30H	12	F7	1	SP				SP,PC			[SP-2:SP-1]	true
RST 38H	12	FF	1	SP				SP,PC			[SP-2:SP-1]	true
RST 8H	12	CF	1	SP				SP,PC			[SP-2:SP-1]	true
SBC A,(HL)	8	9E	1	A,HL	C		HL	A	S,Z,H,P/V,N,C			true
SBC A,A	5	98+7	1		C			A	S,Z,H,P/V,N,C			true
SBC A,B	5	98+0	1	A,B	C			A	S,Z,H,P/V,N,C			true
SBC A,C	5	98+1	1	A,C	C			A	S,Z,H,P/V,N,C			true
SBC A,D	5	98+2	1	A,D	C			A	S,Z,H,P/V,N,C			true
SBC A,E	5	98+3	1	A,E	C			A	S,Z,H,P/V,N,C			true
SBC A,H	5	98+4	1	A,H	C			A	S,Z,H,P/V,N,C			true
SBC A,L	5	98+5	1	A,L	C			A	S,Z,H,P/V,N,C			true
SCF	5	37	1						H,N,C			true
SUB (HL)	8	96	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
SUB A	5	90+7	1					A	S,Z,H,P/V,N,C			true
SUB B	5	90+0	1	A,B				A	S,Z,H,P/V,N,C			true
SUB C	5	90+1	1	A,C				A	S,Z,H,P/V,N,C			true
SUB D	5	90+2	1	A,D				A	S,Z,H,P/V,N,C			true
SUB E	5	90+3	1	A,E				A	S,Z,H,P/V,N,C			true
SUB H	5	90+4	1	A,H				A	S,Z,H,P/V,N,C			true
SUB L	5	90+5	1	A,L				A	S,Z,H,P/V,N,C			true
XOR (HL)	8	AE	1	A,HL			HL	A	S,Z,H,P/V,N,C			true
XOR A	5	A8+7	1					A	S,Z,H,P/V,N,C			true
XOR B	5	A8+0	1	A,B				A	S,Z,H,P/V,N,C			true
XOR C	5	A8+1	1	A,C				A	S,Z,H,P/V,N,C			true
XOR D	5	A8+2	1	A,D				A	S,Z,H,P/V,N,C			true
XOR E	5	A8+3	1	A,E				A	S,Z,H,P/V,N,C			true
XOR H	5	A8+4	1	A,H				A	S,Z,H,P/V,N,C			true
XOR L	5	A8+5	1	A,L				A	S,Z,H,P/V,N,C			true
ADC A,IXp	10	DD 88+p	2	A,IXp	C			A	S,Z,H,P/V,N,C			true
ADC A,IYq	10	FD 88+q	2	A,IYq	C			A	S,Z,H,P/V,N,C			true
ADC A,n	8	CE n	2	A	C			A	S,Z,H,P/V,N,C			true
ADC HL,BC	17	ED 4A	2	HL,BC	C			HL	S,Z,H,P/V,N,C			true
ADC HL,DE	17	ED 5A	2	HL,DE	C			HL	S,Z,H,P/V,N,C			true
ADC HL,HL	17	ED 6A	2	HL	C			HL	S,Z,H,P/V,N,C			true
ADC HL,SP	17	ED 7A	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
ADD A,IXp	10	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
ADD A,IYq	10	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
ADD A,n	8	C6 n	2	A				A	S,Z,H,P/V,N,C			true
ADD IX,BC	17	DD 09	2	IX,BC				IX	H,N,C			true
ADD IX,DE	17	DD 19	2	IX,DE				IX	H,N,C			true
ADD IX,IX	17	DD 29	2	IX				IX	H,N,C			true
ADD IX,SP	17	DD 39	2	IX,SP				IX	H,N,C			true
ADD IY,BC	17	FD 09	2	IY,BC				IY	H,N,C			true
ADD IY,DE	17	FD 19	2	IY,DE				IY	H,N,C			true
ADD IY,IY	17	FD 29	2	IY				IY	H,N,C			true
ADD IY,SP	17	FD 39	2	IY,SP				IY	H,N,C			true
AND IXp	10	DD A0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
AND IYq	10	FD A0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
AND n	8	E6 n	2	A				A	S,Z,H,P/V,N,C			true
BIT b,(HL)	14	CB 46+8*b	2	HL			HL		S,Z,H,P/V,N			true
BIT b,r	10	CB 40+8*b+r	2	r					S,Z,H,P/V,N			true
CP IXp	10	DD B8+p	2	A,IXp					S,Z,H,P/V,N,C			true
CP IYq	10	FD B8+q	2	A,IYq					S,Z,H,P/V,N,C			true
CP n	8	FE n	2	A					S,Z,H,P/V,N,C			true
CPD	18	ED A9	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPDR	23/18	ED B9	2	A,HL,BC			[HL-B:HL]	HL,BC	S,Z,H,P/V,N			true
CPI	18	ED A1	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPIR	23/18	ED B1	2	A,HL,BC			[HL:HL+B]	HL,BC	S,Z,H,P/V,N			true
DEC IX	12	DD 2B	2	IX				IX				true
DEC IXp	10	DD 05+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
DEC IY	12	FD 2B	2	IY				IY				true
DEC IYq	10	FD 05+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
DJNZ o	14/9	10 o	2	B				B,PC				true
EX (SP),IX	25	DD E3	2	HL,IX			[SP:SP+1]	IX			[SP:SP+1]	true
EX (SP),IY	25	FD E3	2	HL,IY			[SP:SP+1]	IY			[SP:SP+1]	true
IM 0	10	ED 46	2									true
IM 1	10	ED 56	2									true
